Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Population,Households,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanFrancisco
0.22804235858821198,0.21903835809161254,0.6666666666666666,0.055908836546777224,0.040135654026177865,0.07580989968755139,0.03665648805020113,0.12070291011848404,0.049327630721532935,0.7577381270745432
1.0,0.6094467662515001,0.9999999999999999,0.005036373810856183,0.03225987275428123,0.004440059200789344,0.020675753990619716,0.018335149081721926,0.1600100354234707,0.6067950467272325
0.2748462892936524,0.15101860663990846,0.6274509803921569,0.022689118380220787,0.013088931864682306,0.0328893274132544,0.1951253129644805,0.5689332120057509,0.6331403889492712,0.14966594685399542
0.6606178943591986,0.32207141970455583,0.7450980392156862,0.06834715368570991,0.03408167269262031,0.07136984048676205,0.04662733690946964,0.02729776543524115,0.17065436791560562,0.5927306121356073
0.2612380979872248,0.3017268727327899,0.0,0.00195858981533296,0.0008128030494128198,0.002302252918927808,0.3852429592636229,0.11528148460504002,0.22813707057765326,0.5552666546115469
0.2907225124844846,0.15063930152687555,0.5294117647058824,0.06638856387037696,0.062081336360324,0.10195691498108864,0.0914008314562609,0.005685539958479094,0.14858090091791218,0.623891745654883
0.4123714953752768,0.3197611067433553,0.25490196078431376,0.09589459225721117,0.0525238936068836,0.09176122348297977,0.11941239404598566,0.07012714338384611,0.10619746943493041,0.6924761874443183
0.09793980231009355,0.09330905780609923,0.9999999999999999,0.03945159485170677,0.02116090697609238,0.05229403058707449,0.010171875034929032,0.9005514044131718,0.915848346645973,0.4084894252643558
0.09938309532744194,0.11866732872650033,0.9607843137254901,0.03863763544793203,0.018442220914263292,0.046702844926821245,0.3676942433367861,0.9224652821775549,0.9320210179328032,0.4884842832063865
0.13340357359351096,0.1576392049764831,0.13725490196078433,0.078597954926998,0.04066818016200006,0.08945897056405197,0.5178203503893711,0.3311119812577147,0.4304952683544385,0.2812980596424196
0.41402097310938923,0.19971448669673525,0.21568627450980393,0.08943378948974919,0.04980520754505451,0.10869922710080579,0.018325422576448792,0.27009880383238066,0.3719410613713821,0.34213720814790094
0.243093842911988,0.22456931628529264,0.6470588235294117,0.09538586762985195,0.06261386249614619,0.11264594639039632,0.010974178444784924,0.5630997200574651,0.628609073045483,0.02614453391528327
0.3810314184271405,0.2660101239982897,0.6666666666666666,0.0733835274965661,0.04916057064379607,0.09537904949843776,0.05876332805440204,0.029425093431969796,0.1735855575252467,0.5889593496595168
0.19958886767477246,0.12345346960731578,0.43137254901960786,0.10075291244849162,0.04246195240898007,0.11461930603519158,0.26376706545120804,0.10797345461739019,0.12326410865134195,0.7081008073896989
0.24659898309697692,0.19732141625632754,0.45098039215686275,0.04441165996845907,0.02542111606266992,0.07005426739023186,0.05038448179086531,0.049772505483835314,0.10869874574808862,0.6775093557657136
0.3556706982651618,0.21360395029034085,0.49019607843137253,0.04596327008190466,0.03453011575436531,0.056240749876665025,0.05669488797512947,0.04412286851723714,0.11346650307346823,0.6710876234521763
0.42020651461231084,0.04957862650170344,0.7058823529411764,0.004832883959912499,0.005353289049580986,0.011017924683440225,0.0772700237778873,0.008234543193912616,0.15662420719529985,0.6129174419629143
